year_id,age,sex_id,dept_sum,nat_pop,diff,diff_pct,flag_diff
1995,90,8532,2964,2964,0,0,FALSE
1995,91,8507,1383,1383,0,0,FALSE
1995,91,8532,2391,2391,0,0,FALSE
1995,92,8507,1060,1060,0,0,FALSE
1995,92,8532,1885,1885,0,0,FALSE
1995,93,8507,797,797,0,0,FALSE
1995,93,8532,1458,1458,0,0,FALSE
1995,94,8507,579,579,0,0,FALSE
1995,94,8532,1095,1095,0,0,FALSE
1995,95,8507,414,414,0,0,FALSE
1995,95,8532,801,801,0,0,FALSE
1995,96,8507,298,298,0,0,FALSE
1995,96,8532,594,594,0,0,FALSE
1995,97,8507,208,208,0,0,FALSE
1995,97,8532,422,422,0,0,FALSE
1995,98,8507,146,146,0,0,FALSE
1995,98,8532,297,297,0,0,FALSE
1995,99,8507,95,95,0,0,FALSE
1995,99,8532,204,204,0,0,FALSE
1995,100,8507,64,64,0,0,FALSE
1995,100,8532,136,136,0,0,FALSE
1995,101,8507,41,41,0,0,FALSE
1995,101,8532,87,87,0,0,FALSE
1995,102,8507,21,21,0,0,FALSE
1995,102,8532,52,52,0,0,FALSE
1995,103,8507,13,13,0,0,FALSE
1995,103,8532,34,34,0,0,FALSE
1995,104,8507,6,6,0,0,FALSE
1995,104,8532,18,18,0,0,FALSE
1995,105,8507,2,2,0,0,FALSE
1995,105,8532,10,10,0,0,FALSE
1995,106,8507,1,1,0,0,FALSE
1995,106,8532,1,1,0,0,FALSE
1995,107,8507,0,0,0,,FALSE
1995,107,8532,1,1,0,0,FALSE
1995,108,8507,0,0,0,,FALSE
1995,108,8532,0,0,0,,FALSE
1995,109,8507,0,0,0,,FALSE
1995,109,8532,0,0,0,,FALSE
1995,110,8507,0,0,0,,FALSE
1995,110,8532,0,0,0,,FALSE
1996,0,8507,316589,316589,0,0,FALSE
1996,0,8532,303320,303320,0,0,FALSE
1996,1,8507,315821,315821,0,0,FALSE
1996,1,8532,303016,303016,0,0,FALSE
1996,2,8507,316697,316697,0,0,FALSE
1996,2,8532,303882,303882,0,0,FALSE
1996,3,8507,317312,317312,0,0,FALSE
1996,3,8532,304518,304518,0,0,FALSE
1996,4,8507,317460,317460,0,0,FALSE
1996,4,8532,304659,304659,0,0,FALSE
1996,5,8507,317421,317421,0,0,FALSE
1996,5,8532,306977,306977,0,0,FALSE
1996,6,8507,315628,315628,0,0,FALSE
1996,6,8532,305321,305321,0,0,FALSE
1996,7,8507,313132,313132,0,0,FALSE
1996,7,8532,302751,302751,0,0,FALSE
1996,8,8507,310013,310013,0,0,FALSE
1996,8,8532,299389,299389,0,0,FALSE
1996,9,8507,306348,306348,0,0,FALSE
1996,9,8532,295355,295355,0,0,FALSE
1996,10,8507,302161,302161,0,0,FALSE
1996,10,8532,290717,290717,0,0,FALSE
1996,11,8507,297474,297474,0,0,FALSE
1996,11,8532,285549,285549,0,0,FALSE
1996,12,8507,292646,292646,0,0,FALSE
1996,12,8532,280214,280214,0,0,FALSE
1996,13,8507,287870,287870,0,0,FALSE
1996,13,8532,274929,274929,0,0,FALSE
1996,14,8507,283054,283054,0,0,FALSE
1996,14,8532,269668,269668,0,0,FALSE
1996,15,8507,277905,277905,0,0,FALSE
1996,15,8532,264136,264136,0,0,FALSE
1996,16,8507,272463,272463,0,0,FALSE
1996,16,8532,258333,258333,0,0,FALSE
1996,17,8507,266993,266993,0,0,FALSE
1996,17,8532,252985,252985,0,0,FALSE
1996,18,8507,261591,261591,0,0,FALSE
1996,18,8532,248409,248409,0,0,FALSE
1996,19,8507,256168,256168,0,0,FALSE
1996,19,8532,244311,244311,0,0,FALSE
1996,20,8507,250600,250600,0,0,FALSE
1996,20,8532,240099,240099,0,0,FALSE
1996,21,8507,244990,244990,0,0,FALSE
1996,21,8532,235915,235915,0,0,FALSE
1996,22,8507,238980,238980,0,0,FALSE
1996,22,8532,231483,231483,0,0,FALSE
1996,23,8507,232407,232407,0,0,FALSE
1996,23,8532,226613,226613,0,0,FALSE
1996,24,8507,225482,225482,0,0,FALSE
1996,24,8532,221465,221465,0,0,FALSE
1996,25,8507,218565,218565,0,0,FALSE
1996,25,8532,216358,216358,0,0,FALSE
1996,26,8507,211566,211566,0,0,FALSE
1996,26,8532,211204,211204,0,0,FALSE
1996,27,8507,204854,204854,0,0,FALSE
1996,27,8532,206162,206162,0,0,FALSE
1996,28,8507,198645,198645,0,0,FALSE
1996,28,8532,201335,201335,0,0,FALSE
1996,29,8507,192769,192769,0,0,FALSE
1996,29,8532,196614,196614,0,0,FALSE
1996,30,8507,186864,186864,0,0,FALSE
1996,30,8532,191832,191832,0,0,FALSE
1996,31,8507,181030,181030,0,0,FALSE
1996,31,8532,187072,187072,0,0,FALSE
1996,32,8507,175132,175132,0,0,FALSE
1996,32,8532,182030,182030,0,0,FALSE
1996,33,8507,169074,169074,0,0,FALSE
1996,33,8532,176554,176554,0,0,FALSE
1996,34,8507,162960,162960,0,0,FALSE
1996,34,8532,170816,170816,0,0,FALSE
1996,35,8507,156944,156944,0,0,FALSE
1996,35,8532,165104,165104,0,0,FALSE
1996,36,8507,150951,150951,0,0,FALSE
1996,36,8532,159324,159324,0,0,FALSE
1996,37,8507,145274,145274,0,0,FALSE
1996,37,8532,153816,153816,0,0,FALSE
1996,38,8507,140063,140063,0,0,FALSE
1996,38,8532,148766,148766,0,0,FALSE
1996,39,8507,135153,135153,0,0,FALSE
1996,39,8532,143999,143999,0,0,FALSE
1996,40,8507,130307,130307,0,0,FALSE
1996,40,8532,139222,139222,0,0,FALSE
1996,41,8507,125664,125664,0,0,FALSE
1996,41,8532,134582,134582,0,0,FALSE
1996,42,8507,120671,120671,0,0,FALSE
1996,42,8532,129598,129598,0,0,FALSE
1996,43,8507,115059,115059,0,0,FALSE
1996,43,8532,124031,124031,0,0,FALSE
1996,44,8507,109133,109133,0,0,FALSE
1996,44,8532,118162,118162,0,0,FALSE
1996,45,8507,103456,103456,0,0,FALSE
1996,45,8532,112505,112505,0,0,FALSE
1996,46,8507,97897,97897,0,0,FALSE
1996,46,8532,106956,106956,0,0,FALSE
1996,47,8507,92867,92867,0,0,FALSE
1996,47,8532,101871,101871,0,0,FALSE
1996,48,8507,88621,88621,0,0,FALSE
1996,48,8532,97483,97483,0,0,FALSE
1996,49,8507,84965,84965,0,0,FALSE
1996,49,8532,93629,93629,0,0,FALSE
1996,50,8507,81401,81401,0,0,FALSE
1996,50,8532,89864,89864,0,0,FALSE
1996,51,8507,77968,77968,0,0,FALSE
1996,51,8532,86216,86216,0,0,FALSE
1996,52,8507,74919,74919,0,0,FALSE
1996,52,8532,82982,82982,0,0,FALSE
1996,53,8507,72311,72311,0,0,FALSE
1996,53,8532,80245,80245,0,0,FALSE
1996,54,8507,70023,70023,0,0,FALSE
1996,54,8532,77865,77865,0,0,FALSE
1996,55,8507,67861,67861,0,0,FALSE
1996,55,8532,75603,75603,0,0,FALSE
1996,56,8507,65847,65847,0,0,FALSE
1996,56,8532,73488,73488,0,0,FALSE
1996,57,8507,63797,63797,0,0,FALSE
1996,57,8532,71342,71342,0,0,FALSE
1996,58,8507,61595,61595,0,0,FALSE
1996,58,8532,69048,69048,0,0,FALSE
1996,59,8507,59292,59292,0,0,FALSE
1996,59,8532,66658,66658,0,0,FALSE
1996,60,8507,57081,57081,0,0,FALSE
1996,60,8532,64363,64363,0,0,FALSE
1996,61,8507,54953,54953,0,0,FALSE
1996,61,8532,62150,62150,0,0,FALSE
1996,62,8507,52655,52655,0,0,FALSE
1996,62,8532,59781,59781,0,0,FALSE
1996,63,8507,50089,50089,0,0,FALSE
