year_id,sex_id,location_id,pop_internal_80plus,pop_observed_80plus,diff,flag_diff
1999,8507,13,3870,3870,0,FALSE
1999,8507,14,3070,3070,0,FALSE
1999,8507,15,23578,23578,0,FALSE
1999,8507,16,1132,1132,0,FALSE
1999,8507,17,119,119,0,FALSE
1999,8507,18,525,525,0,FALSE
1999,8507,19,524,524,0,FALSE
1999,8507,20,4138,4138,0,FALSE
1999,8507,21,4571,4571,0,FALSE
1999,8507,22,928,928,0,FALSE
1999,8507,23,510,510,0,FALSE
1999,8507,24,412,412,0,FALSE
1999,8507,25,666,666,0,FALSE
1999,8532,0,108498,108498,0,FALSE
1999,8532,1,933,933,0,FALSE
1999,8532,2,5451,5451,0,FALSE
1999,8532,3,2025,2025,0,FALSE
1999,8532,4,5582,5582,0,FALSE
1999,8532,5,3583,3583,-4.54747350886464e-13,FALSE
1999,8532,6,4965,4965,0,FALSE
1999,8532,7,3298,3298,0,FALSE
1999,8532,8,4804,4804,0,FALSE
1999,8532,9,2323,2323,0,FALSE
1999,8532,10,1940,1940,0,FALSE
1999,8532,11,2587,2587,0,FALSE
1999,8532,12,5244,5244,0,FALSE
1999,8532,13,6250,6250,9.09494701772928e-13,FALSE
1999,8532,14,4137,4137,0,FALSE
1999,8532,15,36240,36240,0,FALSE
1999,8532,16,1719,1719,0,FALSE
1999,8532,17,96,96,0,FALSE
1999,8532,18,683,683,0,FALSE
1999,8532,19,898,898,0,FALSE
1999,8532,20,5412,5412,0,FALSE
1999,8532,21,6905,6905,0,FALSE
1999,8532,22,1475,1475,0,FALSE
1999,8532,23,770,770,0,FALSE
1999,8532,24,507,507,0,FALSE
1999,8532,25,671,671,0,FALSE
2000,8507,0,76725,76725,0,FALSE
2000,8507,1,698,698,0,FALSE
2000,8507,2,3919,3919,0,FALSE
2000,8507,3,1353,1353,0,FALSE
2000,8507,4,4013,4013,4.54747350886464e-13,FALSE
2000,8507,5,2096,2096,0,FALSE
2000,8507,6,3504,3504,0,FALSE
2000,8507,7,2458,2458,0,FALSE
2000,8507,8,3663,3663,0,FALSE
2000,8507,9,1471,1471,0,FALSE
2000,8507,10,1336,1336,0,FALSE
2000,8507,11,1946,1946,0,FALSE
